Customer_ID,Join_Date,Industry,Total_Users,Monthly_Revenue,Contract_Type,Support_Tickets,Last_Login_Days_Ago,Churn_Label,Churn_Label_Flag,Total_Users_Flag,Monthly_Revenue_Flag,Last_Login_Days_Ago_Flag,Support_Tickets_Missing,Contract_Type_Unknown
1114,2020-11-06,Tech,10.0,499.0,2 Year,0.0,30.0,No,,,,,0,0
1115,2022-05-02,Manufacturing,8.0,408.0,2 Year,1.0,12.0,No,,,,,0,0
1116,2022-05-28,Finance,17.0,869.0,2 Year,0.0,19.0,No,,,,,0,0
1117,2021-03-08,Tech,9.0,463.0,2 Year,1.0,2.0,No,,,,,0,0
1118,2020-11-16,Tech,19.0,930.0,1 Year,2.0,,No,,,,negative_set_to_missing,0,0
1119,2021-04-19,Education,10.0,516.0,2 Year,2.0,9.0,No,,,,,0,0
1120,2021-04-23,Retail,5.0,263.0,2 Year,0.0,18.0,No,,,,,0,0
1121,2020-08-23,Finance,30.0,1549.0,Month-to-Month,2.0,20.0,No,,,,,0,0
1122,2020-05-26,Manufacturing,6.0,287.0,Month-to-Month,0.0,25.0,No,,,,,1,0
1123,2021-08-14,Healthcare,8.0,436.0,Month-to-Month,1.0,14.0,No,,,,,0,0
1124,2022-10-21,Education,4.0,249.0,1 Year,0.0,,Yes,,,,negative_set_to_missing,0,0
1125,2021-10-22,Manufacturing,19.0,962.0,Month-to-Month,0.0,2.0,No,,,,,1,0
1126,2020-02-12,Manufacturing,31.0,1564.0,2 Year,3.0,1.0,No,,,,,0,0
1127,2022-06-24,Tech,7.0,365.0,Month-to-Month,3.0,18.0,No,,,,,0,0
1128,2022-08-20,Finance,4.0,224.0,1 Year,0.0,10.0,No,,,,,0,0
1129,2021-11-06,Manufacturing,11.0,582.0,2 Year,1.0,15.0,No,,,,,0,0
1130,2020-03-16,Manufacturing,9.0,488.0,Month-to-Month,1.0,10.0,Yes,,,,,0,0
1131,2020-01-03,Healthcare,27.0,1399.0,1 Year,4.0,13.0,Yes,,,,,0,0
1132,2022-10-17,Retail,24.0,1236.0,Month-to-Month,2.0,6.0,Yes,,,,,0,0
1133,2022-09-19,Finance,6.0,295.0,Month-to-Month,1.0,20.0,No,,,,,0,0
1134,2021-09-28,Retail,20.0,1050.0,Month-to-Month,0.0,17.0,Yes,,,,,0,0
1135,2020-08-28,Healthcare,26.0,1299.0,1 Year,2.0,29.0,No,,,,,0,0
1136,2022-04-30,Finance,3.0,191.0,1 Year,0.0,7.0,No,,,,,0,0
1137,2022-11-06,Healthcare,33.0,1647.0,Month-to-Month,4.0,8.0,No,,,,,0,0
1138,2022-11-05,Manufacturing,10.0,514.0,Month-to-Month,3.0,9.0,No,,,,,0,0
1139,2022-09-29,Manufacturing,18.0,899.0,1 Year,0.0,17.0,No,,,,,0,0
1140,2022-02-11,Manufacturing,17.0,888.0,1 Year,2.0,27.0,No,,,,,0,0
1141,2022-02-23,Retail,10.0,509.0,1 Year,1.0,1.0,No,,,,,0,0
1142,2022-03-01,Manufacturing,25.0,1249.0,1 Year,3.0,30.0,Yes,,,,,0,0
1143,2021-11-10,Education,13.0,642.0,1 Year,2.0,3.0,No,,,,,0,0
1144,2020-10-22,Healthcare,39.0,1982.0,2 Year,2.0,4.0,No,,,,,0,0
1145,2021-11-24,Manufacturing,31.0,1580.0,2 Year,0.0,2.0,No,,,,,0,0
1146,2022-02-17,Manufacturing,17.0,870.0,2 Year,2.0,22.0,No,recoded_from_1,,,,0,0
1147,2020-03-14,Finance,24.0,1188.0,Month-to-Month,2.0,20.0,No,,,,,0,0
1148,2020-07-04,Retail,38.0,1935.0,Month-to-Month,2.0,24.0,No,,,,,0,0
1149,2020-12-06,Healthcare,44.0,2218.0,Month-to-Month,2.0,1.0,Yes,,,,,0,0
1150,2022-06-01,Finance,22.0,1098.0,Month-to-Month,0.0,16.0,No,,,,,0,0
1151,2020-12-14,Finance,39.0,1952.0,Month-to-Month,2.0,19.0,No,,,,,0,0
1152,2022-10-16,Education,11.0,548.0,Month-to-Month,2.0,14.0,No,,,,,0,0
1153,2020-01-20,Manufacturing,6.0,339.0,1 Year,2.0,21.0,Yes,,,,,0,0
1154,2021-09-04,Retail,10.0,534.0,Unknown,1.0,8.0,No,,,,,0,1
1155,2022-09-16,Education,72.0,3593.0,Month-to-Month,6.0,12.0,No,,,,,0,0
1156,2021-08-27,Education,18.0,882.0,2 Year,5.0,12.0,No,,,,,0,0
1157,2020-04-10,Healthcare,75.0,3793.0,1 Year,0.0,24.0,No,,,,,0,0
1158,2021-03-24,Education,24.0,1204.0,Unknown,1.0,8.0,No,,,,,0,1
1159,2020-10-07,Tech,6.0,292.0,2 Year,2.0,20.0,Yes,,,,,0,0
1160,2022-01-17,Finance,3.0,146.0,Month-to-Month,1.0,29.0,No,,,,,0,0
1161,2021-02-15,Healthcare,5.0,246.0,2 Year,3.0,28.0,No,,,,,0,0
1162,2020-12-02,Healthcare,14.0,712.0,1 Year,1.0,30.0,No,,,,,0,0
1163,2020-08-23,Education,6.0,339.0,Month-to-Month,1.0,4.0,No,,,,,0,0
1164,2022-03-24,Retail,24.0,1226.0,Month-to-Month,3.0,25.0,Yes,,,,,0,0
1165,2022-01-24,Tech,8.0,413.0,2 Year,1.0,12.0,No,,,,,0,0
1166,2021-04-23,Manufacturing,26.0,1340.0,Month-to-Month,2.0,19.0,No,,,,,0,0
1167,2021-03-29,Education,13.0,638.0,2 Year,2.0,26.0,No,,,,,0,0
1168,2022-04-16,Retail,44.0,2194.0,Month-to-Month,3.0,1.0,No,,,,,0,0
1169,2020-08-25,Healthcare,29.0,1442.0,Month-to-Month,0.0,28.0,No,,,,,0,0
1170,2022-05-08,Retail,4.0,199.0,1 Year,2.0,20.0,No,,,,,0,0
1171,2021-07-26,Finance,9.0,434.0,2 Year,0.0,11.0,No,,,,,0,0
1172,2022-01-12,Healthcare,8.0,392.0,2 Year,2.0,11.0,No,,,,,0,0
1173,2020-05-04,Retail,12.0,630.0,1 Year,5.0,6.0,No,,,,,0,0
1174,2020-07-06,Finance,13.0,657.0,2 Year,1.0,20.0,Yes,,,,,0,0
1175,2020-09-14,Finance,3.0,156.0,Month-to-Month,2.0,26.0,Yes,,,,,0,0
1176,2021-11-03,Finance,51.0,2548.0,2 Year,2.0,0.0,No,,,,,0,0
1177,2021-05-28,Finance,38.0,1902.0,Month-to-Month,3.0,21.0,Yes,,,,,0,0
1178,2021-10-25,Manufacturing,32.0,1582.0,Month-to-Month,1.0,8.0,Yes,,,,,0,0
1179,2020-08-20,Tech,16.0,788.0,1 Year,2.0,14.0,No,,,,,0,0
1180,2022-07-14,Education,18.0,944.0,Month-to-Month,1.0,30.0,No,recoded_from_1,,,,0,0
1181,2022-12-03,Retail,14.0,718.0,Unknown,0.0,20.0,No,,,,,0,1
1182,2022-04-02,Tech,3.0,184.0,2 Year,2.0,3.0,No,,,,,0,0
1183,2020-06-14,Manufacturing,24.0,1221.0,2 Year,1.0,4.0,Yes,,,,,0,0
1184,2021-10-27,Retail,20.0,1028.0,2 Year,1.0,,No,,,,negative_set_to_missing,0,0
1185,2020-07-22,Finance,32.0,1594.0,2 Year,2.0,20.0,No,,,,,0,0
1186,2022-05-30,Retail,12.0,637.0,Month-to-Month,1.0,13.0,No,,,,,0,0
1187,2020-07-13,Finance,19.0,970.0,1 Year,2.0,10.0,No,,,,,0,0
1188,2022-08-29,Education,7.0,338.0,Unknown,3.0,26.0,No,,,,,0,1
1189,2022-02-02,Healthcare,78.0,3896.0,2 Year,1.0,1.0,No,,,,,0,0
1190,2020-09-07,Education,76.0,3832.0,1 Year,1.0,27.0,No,,,,,0,0
1191,2020-04-15,Finance,15.0,766.0,2 Year,3.0,9.0,No,,,,,0,0
1192,2020-11-12,Healthcare,27.0,1391.0,Month-to-Month,2.0,27.0,No,,,,,0,0
1193,2020-08-23,Manufacturing,10.0,515.0,2 Year,0.0,7.0,No,,,,,0,0
1194,2020-02-23,Healthcare,15.0,764.0,Month-to-Month,5.0,5.0,No,,,,,0,0
1195,2021-12-19,Tech,26.0,1280.0,Month-to-Month,1.0,27.0,No,,,,,0,0
1196,2020-10-17,Retail,22.0,1083.0,Month-to-Month,2.0,23.0,No,,,,,0,0
1197,2021-11-29,Manufacturing,19.0,950.0,1 Year,0.0,9.0,No,,,,,1,0
1198,2020-06-22,Healthcare,17.0,836.0,Month-to-Month,1.0,5.0,Yes,,,,,0,0
1199,2022-06-26,Manufacturing,17.0,884.0,1 Year,1.0,,No,,,,negative_set_to_missing,0,0
1200,2020-08-21,Retail,19.0,974.0,1 Year,1.0,3.0,No,,,,,0,0
1201,2022-12-15,Tech,11.0,569.0,Month-to-Month,3.0,7.0,No,,,,,0,0
1202,2021-02-22,Tech,20.0,1018.0,Month-to-Month,0.0,24.0,Yes,,,,,0,0
1203,2020-01-16,Education,30.0,1543.0,2 Year,0.0,13.0,No,,,,,0,0
1204,2021-04-16,Retail,17.0,894.0,2 Year,4.0,26.0,No,,,,,0,0
1205,2020-03-27,Manufacturing,34.0,1735.0,Month-to-Month,5.0,14.0,No,,,,,0,0
1206,2022-05-29,Tech,7.0,381.0,2 Year,1.0,20.0,No,,,,,0,0
1207,2021-10-27,Tech,29.0,1451.0,2 Year,1.0,14.0,No,,,,,0,0
1208,2022-06-13,Retail,2.0,93.0,Month-to-Month,3.0,13.0,No,,,,,0,0
1209,2021-09-27,Tech,5.0,273.0,Month-to-Month,4.0,10.0,Yes,,,,,0,0
1210,2022-12-22,Education,18.0,945.0,Month-to-Month,1.0,28.0,No,,,,,0,0
1211,2020-10-29,Education,23.0,1160.0,Month-to-Month,1.0,4.0,Yes,,,,,0,0
1212,2020-06-03,Manufacturing,9.0,452.0,2 Year,5.0,15.0,No,,,,,0,0
1213,2022-07-08,Retail,37.0,1871.0,2 Year,1.0,10.0,No,,,,,0,0
1214,2021-09-12,Retail,10.0,515.0,2 Year,3.0,1.0,No,,,,,0,0
1215,2022-07-14,Manufacturing,26.0,1284.0,Month-to-Month,1.0,11.0,Yes,,,,,0,0
1216,2022-11-04,Tech,20.0,1029.0,1 Year,1.0,18.0,No,,,,,0,0
1217,2022-07-10,Tech,21.0,1054.0,1 Year,1.0,19.0,No,,,,,0,0
1218,2022-07-11,Tech,16.0,793.0,1 Year,2.0,22.0,No,,,,,0,0
1219,2021-05-22,Healthcare,52.0,2636.0,1 Year,3.0,16.0,No,,,,,0,0
1220,2021-08-02,Education,40.0,2029.0,1 Year,3.0,24.0,No,,,,,0,0
1221,2021-11-16,Healthcare,5.0,238.0,1 Year,6.0,3.0,No,,,,,0,0
1222,2020-11-03,Healthcare,14.0,722.0,Unknown,1.0,18.0,No,,,,,0,1
1223,2022-03-13,Retail,18.0,896.0,2 Year,2.0,22.0,No,,,,,0,0
1224,2021-11-03,Education,29.0,1446.0,2 Year,2.0,22.0,No,,,,,0,0
1225,2022-12-14,Healthcare,3.0,141.0,2 Year,1.0,21.0,No,,,,,0,0
1226,2021-09-24,Finance,20.0,1003.0,Month-to-Month,0.0,10.0,No,,,,,1,0
1227,2020-10-08,Education,46.0,2299.0,Month-to-Month,1.0,9.0,Yes,,,,,0,0
1228,2022-12-14,Manufacturing,34.0,1684.0,2 Year,2.0,10.0,No,,,,,0,0
1229,2022-02-10,Finance,6.0,299.0,Month-to-Month,4.0,5.0,No,,,,,0,0
1230,2022-06-15,Retail,46.0,2285.0,1 Year,1.0,11.0,No,,,,,0,0
1231,2021-08-06,Retail,15.0,787.0,Month-to-Month,2.0,17.0,No,,,,,0,0
1232,2021-02-01,Healthcare,26.0,1327.0,2 Year,0.0,30.0,No,,,,,0,0
1233,2022-02-21,Manufacturing,32.0,1644.0,2 Year,3.0,13.0,No,,,,,0,0
1234,2020-10-10,Tech,26.0,1312.0,Month-to-Month,0.0,20.0,No,,,,,1,0
1235,2022-11-22,Manufacturing,15.0,745.0,1 Year,2.0,2.0,No,,,,,0,0
1236,2020-10-28,Healthcare,5.0,285.0,Month-to-Month,2.0,30.0,No,,,,,0,0
1237,2020-02-24,Healthcare,43.0,2183.0,Month-to-Month,5.0,12.0,Yes,,,,,0,0
1238,2021-04-04,Healthcare,38.0,1883.0,1 Year,0.0,29.0,No,,,,,0,0
1239,2020-10-26,Finance,23.0,1147.0,Month-to-Month,2.0,9.0,No,,,,,0,0
1240,2022-08-18,Finance,8.0,437.0,2 Year,2.0,0.0,Yes,,,,,0,0
1241,2022-12-16,Finance,16.0,834.0,Month-to-Month,0.0,24.0,Yes,,,,,0,0
1242,2022-05-09,Manufacturing,14.0,738.0,Month-to-Month,2.0,3.0,No,,,,,0,0
1243,2020-02-03,Tech,9.0,495.0,2 Year,1.0,7.0,No,,,,,0,0
1244,2021-12-23,Manufacturing,7.0,360.0,2 Year,2.0,13.0,No,,,,,0,0
1245,2022-01-08,Manufacturing,16.0,788.0,2 Year,2.0,17.0,No,,,,,0,0
1246,2020-02-11,Healthcare,19.0,979.0,1 Year,1.0,1.0,No,,,,,0,0
1247,2020-02-03,Tech,1.0,75.0,Month-to-Month,1.0,11.0,No,,,,,0,0
1248,2021-11-11,Finance,52.0,2597.0,Month-to-Month,1.0,11.0,No,,,,,0,0
1249,2022-08-09,Retail,26.0,1341.0,2 Year,2.0,5.0,No,,,,,0,0
1250,2020-03-16,Healthcare,52.0,2617.0,Month-to-Month,4.0,1.0,No,,,,,0,0
1251,2021-09-27,Education,21.0,1095.0,1 Year,3.0,26.0,No,,,,,0,0
1252,2021-01-26,Healthcare,50.0,2516.0,1 Year,0.0,27.0,No,,,,,0,0
1253,2021-07-13,Retail,19.0,945.0,1 Year,2.0,13.0,No,,,,,0,0
1254,2021-11-25,Manufacturing,24.0,1203.0,1 Year,3.0,22.0,No,,,,,0,0
1255,2021-06-30,Finance,10.0,490.0,Unknown,2.0,13.0,No,,,,,0,1
1256,2021-08-24,Retail,10.0,521.0,Month-to-Month,1.0,2.0,No,,,,,0,0
1257,2022-05-22,Manufacturing,19.0,951.0,2 Year,3.0,14.0,Yes,,,,,0,0
1258,2022-06-09,Retail,3.0,165.0,2 Year,4.0,25.0,Yes,,,,,0,0
1259,2022-01-14,Education,58.0,2945.0,2 Year,2.0,21.0,Yes,,,,,0,0
1260,2022-06-16,Healthcare,41.0,2034.0,Month-to-Month,2.0,2.0,No,,,,,0,0
1261,2022-02-23,Healthcare,28.0,1384.0,2 Year,3.0,4.0,No,,,,,0,0
1262,2022-06-28,Education,24.0,1189.0,2 Year,2.0,4.0,No,,,,,0,0
1263,2021-07-24,Retail,12.0,611.0,Month-to-Month,2.0,0.0,No,,,,,0,0
1264,2020-08-29,Healthcare,4.0,213.0,1 Year,0.0,22.0,No,,,,,0,0
1265,2022-10-02,Education,36.0,1805.0,Month-to-Month,1.0,4.0,No,,,,,0,0
1266,2022-06-30,Healthcare,20.0,991.0,2 Year,2.0,30.0,No,,,,,0,0
1267,2020-05-12,Education,12.0,650.0,2 Year,5.0,9.0,No,,,,,0,0
1268,2020-12-22,Finance,12.0,626.0,2 Year,1.0,7.0,No,recoded_from_1,,,,0,0
1269,2021-04-29,Manufacturing,15.0,793.0,Month-to-Month,1.0,11.0,No,,,,,0,0
1270,2020-09-22,Retail,16.0,791.0,Month-to-Month,2.0,9.0,No,,,,,0,0
1271,2022-12-12,Education,10.0,532.0,1 Year,2.0,26.0,Yes,,,,,0,0
1272,2020-05-31,Education,16.0,837.0,1 Year,3.0,21.0,Yes,,,,,0,0
1273,2021-01-07,Tech,60.0,2996.0,1 Year,0.0,16.0,No,,,,,1,0
1274,2022-11-27,Finance,14.0,699.0,1 Year,2.0,5.0,No,,,,,0,0
1275,2021-12-09,Manufacturing,9.0,496.0,1 Year,1.0,27.0,No,,,,,0,0
1276,2021-07-16,Finance,55.0,2746.0,2 Year,5.0,9.0,Yes,,,,,0,0
1277,2020-11-11,Manufacturing,35.0,1751.0,Unknown,3.0,19.0,No,,,,,0,1
1278,2020-03-25,Healthcare,37.0,1833.0,Month-to-Month,0.0,1.0,No,,,,,1,0
1279,2021-03-07,Manufacturing,15.0,783.0,2 Year,4.0,20.0,Yes,,,,,0,0
1280,2021-08-16,Healthcare,21.0,1068.0,1 Year,5.0,7.0,No,,,,,0,0
1281,2022-07-17,Retail,18.0,889.0,2 Year,1.0,1.0,No,,,,,0,0
1282,2021-02-21,Education,6.0,323.0,2 Year,0.0,4.0,No,,,,,1,0
1283,2021-12-08,Healthcare,9.0,481.0,Month-to-Month,0.0,,No,,,,negative_set_to_missing,0,0
1284,2021-05-10,Healthcare,4.0,239.0,Month-to-Month,3.0,8.0,Yes,,,,,0,0
